request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_116,38189.47,not_affordable,not_recommended,none,,none,No eligible plan protects the INR 80300 minimum through the next 90 days.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,This plan keeps at least EUR 1000 available throughout the 90-day forecast.
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,This plan keeps at least EUR 600 available throughout the 90-day forecast.
request_119,119686.46,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-05-15,none,This plan keeps at least INR 151200 available throughout the 90-day forecast.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,This plan keeps at least IDR 20050300 available throughout the 90-day forecast.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,This plan keeps at least USD 800 available throughout the 90-day forecast.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,This plan keeps at least IDR 12588500 available throughout the 90-day forecast.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,This plan keeps at least IDR 18091200 available throughout the 90-day forecast.
request_124,1945.33,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,This plan keeps at least EUR 1600 available throughout the 90-day forecast.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,This plan keeps at least ZAR 11300 available throughout the 90-day forecast.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,This plan keeps at least INR 129700 available throughout the 90-day forecast.
request_127,16111.99,affordable_later,wait,2024-09-15:23980,2024-09-15,none,Waiting preserves the ZAR 41000 minimum; the full amount is safe on the stated date.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,This plan keeps at least ZAR 42600 available throughout the 90-day forecast.
request_129,95.2,not_affordable,not_recommended,none,,none,No eligible plan protects the USD 800 minimum through the next 90 days.
request_130,605.54,affordable_later,wait,2024-12-15:1978.8,2024-12-15,none,Waiting preserves the USD 1400 minimum; the full amount is safe on the stated date.
request_131,1855.2,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,This plan keeps at least USD 1100 available throughout the 90-day forecast.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,This plan keeps at least USD 1100 available throughout the 90-day forecast.
request_133,15770000,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 9986200 minimum through the next 90 days.
request_134,9017686.51,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Waiting preserves the IDR 15902500 minimum; the full amount is safe on the stated date.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,This plan keeps at least USD 500 available throughout the 90-day forecast.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,This plan keeps at least USD 1100 available throughout the 90-day forecast.
request_137,55941.03,affordable_later,wait,2025-11-15:80100,2025-11-15,none,Waiting preserves the INR 71800 minimum; the full amount is safe on the stated date.
request_138,1096.98,affordable_with_plan,partial_payment,2026-04-07:1096.98|2026-04-15:159.96,2026-04-15,none,This plan keeps at least EUR 2300 available throughout the 90-day forecast.
request_139,1863.46,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,This plan keeps at least USD 1500 available throughout the 90-day forecast.
request_140,7717.23,not_affordable,not_recommended,none,,none,No eligible plan protects the ZAR 21600 minimum through the next 90 days.
request_141,35631.64,not_affordable,not_recommended,none,,none,No eligible plan protects the INR 67300 minimum through the next 90 days.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,This plan keeps at least USD 1700 available throughout the 90-day forecast.
request_143,3655.22,affordable_later,wait,2025-07-30:12584,2025-07-30,none,Waiting preserves the ZAR 11300 minimum; the full amount is safe on the stated date.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,This plan keeps at least USD 600 available throughout the 90-day forecast.
request_145,66306.49,not_affordable,not_recommended,none,,none,No eligible plan protects the INR 155400 minimum through the next 90 days.
request_146,68814.13,affordable_later,wait,2025-10-15:449400,2025-10-15,none,Waiting preserves the INR 108600 minimum; the full amount is safe on the stated date.
request_147,663.51,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,This plan keeps at least EUR 900 available throughout the 90-day forecast.
request_148,9801.8,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,This plan keeps at least ZAR 20000 available throughout the 90-day forecast.
request_149,36652,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-04,none,This plan keeps at least ZAR 42100 available throughout the 90-day forecast.
request_150,398.45,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,none,This plan keeps at least EUR 700 available throughout the 90-day forecast.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,This plan keeps at least IDR 31633600 available throughout the 90-day forecast.
request_152,13882,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,This plan keeps at least ZAR 11900 available throughout the 90-day forecast.
request_153,224.01,affordable_later,wait,2026-09-15:2830.8,2026-09-15,none,Waiting preserves the USD 1400 minimum; the full amount is safe on the stated date.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,This plan keeps at least EUR 1300 available throughout the 90-day forecast.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,This plan keeps at least INR 56300 available throughout the 90-day forecast.
request_156,12322.01,affordable_later,wait,2026-05-15:43076,2026-05-15,none,Waiting preserves the ZAR 26900 minimum; the full amount is safe on the stated date.
request_157,7649776.28,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,Waiting preserves the IDR 15714100 minimum; the full amount is safe on the stated date.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,This plan keeps at least INR 131400 available throughout the 90-day forecast.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,This plan keeps at least ZAR 8700 available throughout the 90-day forecast.
request_160,783.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,This plan keeps at least EUR 1200 available throughout the 90-day forecast.
request_161,0,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 23010400 minimum through the next 90 days.
request_162,5253244.87,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 24161100 minimum through the next 90 days.
request_163,15480273.22,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 26728700 minimum through the next 90 days.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,This plan keeps at least IDR 29550500 available throughout the 90-day forecast.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,This plan keeps at least INR 95000 available throughout the 90-day forecast.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,This plan keeps at least USD 1700 available throughout the 90-day forecast.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,This plan keeps at least ZAR 31200 available throughout the 90-day forecast.
request_168,46138.88,affordable_with_plan,partial_payment,2026-01-07:46138.88|2026-01-15:3241.12,2026-01-15,none,This plan keeps at least INR 114400 available throughout the 90-day forecast.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,This plan keeps at least ZAR 18700 available throughout the 90-day forecast.
request_170,36936000,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-06,none,This plan keeps at least IDR 24715800 available throughout the 90-day forecast.
request_171,227.99,not_affordable,not_recommended,none,,none,No eligible plan protects the EUR 500 minimum through the next 90 days.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,This plan keeps at least ZAR 27200 available throughout the 90-day forecast.
request_173,66929.18,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,This plan keeps at least INR 79100 available throughout the 90-day forecast.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,This plan keeps at least EUR 700 available throughout the 90-day forecast.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,This plan keeps at least EUR 1700 available throughout the 90-day forecast.
request_176,584.82,affordable_later,wait,2025-04-15:1239.7,2025-04-15,none,Waiting preserves the EUR 600 minimum; the full amount is safe on the stated date.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,This plan keeps at least USD 1300 available throughout the 90-day forecast.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,This plan keeps at least EUR 1400 available throughout the 90-day forecast.
request_179,29505873.75,affordable_later,wait,2025-05-15:41648000,2025-05-15,none,Waiting preserves the IDR 41430800 minimum; the full amount is safe on the stated date.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,This plan keeps at least INR 37300 available throughout the 90-day forecast.
request_181,845.67,affordable_later,wait,2024-05-15:5059.2,2024-05-15,none,Waiting preserves the USD 2000 minimum; the full amount is safe on the stated date.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,This plan keeps at least ZAR 31100 available throughout the 90-day forecast.
request_183,26217233.96,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,This plan keeps at least IDR 11878300 available throughout the 90-day forecast.
request_184,31207.7,not_affordable,not_recommended,none,,none,No eligible plan protects the INR 110800 minimum through the next 90 days.
request_185,604.39,affordable_later,wait,2025-11-15:1257.3,2025-11-15,none,Waiting preserves the EUR 1300 minimum; the full amount is safe on the stated date.
request_186,16390.46,affordable_later,wait,2026-03-15:26554,2026-03-15,none,Waiting preserves the ZAR 22000 minimum; the full amount is safe on the stated date.
request_187,59406.98,affordable_later,wait,2024-10-15:187500,2024-10-15,none,Waiting preserves the INR 128300 minimum; the full amount is safe on the stated date.
request_188,444,affordable_later,wait,2025-04-15:2464,2025-04-15,none,Waiting preserves the EUR 900 minimum; the full amount is safe on the stated date.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,This plan keeps at least EUR 400 available throughout the 90-day forecast.
request_190,1189.24,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,Waiting preserves the EUR 1600 minimum; the full amount is safe on the stated date.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,This plan keeps at least EUR 500 available throughout the 90-day forecast.
request_192,322.47,not_affordable,not_recommended,none,,none,No eligible plan protects the USD 1000 minimum through the next 90 days.
request_193,125.9,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,This plan keeps at least EUR 1000 available throughout the 90-day forecast.
request_194,80344.05,affordable_later,wait,2025-08-23:132800,2025-08-23,none,Waiting preserves the INR 113600 minimum; the full amount is safe on the stated date.
request_195,1166.54,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,This plan keeps at least EUR 700 available throughout the 90-day forecast.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,This plan keeps at least EUR 500 available throughout the 90-day forecast.
request_197,25247147.09,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 26245900 minimum through the next 90 days.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,This plan keeps at least INR 124300 available throughout the 90-day forecast.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,This plan keeps at least IDR 25359500 available throughout the 90-day forecast.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,This plan keeps at least IDR 20114600 available throughout the 90-day forecast.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,This plan keeps at least IDR 17304500 available throughout the 90-day forecast.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,This plan keeps at least INR 147800 available throughout the 90-day forecast.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,This plan keeps at least EUR 1400 available throughout the 90-day forecast.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,This plan keeps at least EUR 1300 available throughout the 90-day forecast.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,This plan keeps at least IDR 13994300 available throughout the 90-day forecast.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,This plan keeps at least EUR 900 available throughout the 90-day forecast.
request_207,10693.55,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Waiting preserves the ZAR 13600 minimum; the full amount is safe on the stated date.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,This plan keeps at least IDR 10470700 available throughout the 90-day forecast.
request_209,7231.03,not_affordable,not_recommended,none,,none,No eligible plan protects the ZAR 18400 minimum through the next 90 days.
request_210,1243.6,affordable_with_plan,partial_payment,2026-04-06:1243.6|2026-04-15:116.42,2026-04-15,none,This plan keeps at least USD 2000 available throughout the 90-day forecast.
request_211,903.06,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,Waiting preserves the EUR 1500 minimum; the full amount is safe on the stated date.
request_212,18305119,affordable_later,wait,2025-04-23:71934000,2025-04-23,none,Waiting preserves the IDR 29579800 minimum; the full amount is safe on the stated date.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,This plan keeps at least USD 2100 available throughout the 90-day forecast.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,This plan keeps at least INR 174900 available throughout the 90-day forecast.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,This plan keeps at least ZAR 15700 available throughout the 90-day forecast.
